,Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
104,104,26,male,2,rent,,,2445,12,car,good
360,360,61,male,2,free,,moderate,1239,18,education,good
695,695,50,male,2,rent,quite rich,,1236,6,car,good
902,902,42,male,2,free,,,10477,36,car,good
312,312,26,female,2,own,little,rich,3749,24,furniture/equipment,good
410,410,20,female,2,own,little,moderate,1967,24,radio/TV,good
832,832,29,male,2,rent,little,little,11816,45,business,bad
542,542,31,male,2,own,,little,6350,30,furniture/equipment,bad
72,72,51,male,3,free,little,little,1164,8,vacation/others,good
672,672,42,male,3,own,little,,10366,60,car,good
591,591,42,female,2,rent,,moderate,1965,24,car,good
646,646,32,male,2,own,little,little,4583,30,furniture/equipment,good
43,43,24,male,2,rent,moderate,little,6187,30,car,good
34,34,33,female,3,own,little,rich,1474,12,furniture/equipment,good
791,791,41,male,3,own,,,6313,24,car,good
397,397,46,male,2,own,little,little,2348,36,furniture/equipment,good
889,889,40,male,2,rent,,,7824,28,car,good
271,271,37,female,2,rent,quite rich,,1402,12,furniture/equipment,good
536,536,75,female,3,own,,little,1374,6,car,good
22,22,48,male,1,rent,little,little,2241,10,car,good
950,950,40,male,0,own,little,moderate,3590,18,business,good
839,839,46,male,2,own,little,,2611,24,radio/TV,good
935,935,30,male,3,own,moderate,moderate,1919,30,radio/TV,bad
179,179,65,male,2,own,little,little,571,21,car,good
406,406,43,male,2,own,,,2197,24,car,good
150,150,42,male,2,free,moderate,,1346,6,radio/TV,good
803,803,35,male,2,own,,,976,12,radio/TV,good
770,770,26,female,2,rent,,little,2812,24,car,good
533,533,26,male,2,own,moderate,,1311,24,radio/TV,good
762,762,24,male,1,own,little,little,2214,12,radio/TV,good
951,951,24,male,2,own,little,little,2145,36,business,bad
692,692,29,male,2,own,moderate,moderate,2896,24,radio/TV,good
172,172,34,female,3,own,little,moderate,2064,24,furniture/equipment,bad
121,121,41,female,3,rent,little,,3868,24,car,good
984,984,30,male,1,own,little,,2028,24,furniture/equipment,good
247,247,35,male,2,rent,moderate,,1204,6,car,good
324,324,36,female,2,own,little,,1028,18,car,good
291,291,28,male,3,rent,little,moderate,9398,36,car,bad
840,840,29,male,2,own,little,little,5179,36,furniture/equipment,bad
825,825,30,male,2,own,little,little,1602,21,car,good
422,422,47,male,1,own,little,moderate,958,12,car,good
90,90,56,male,2,own,little,,618,12,radio/TV,good
450,450,30,male,3,own,,,11054,36,car,good
215,215,39,female,1,own,,moderate,932,6,education,good
579,579,27,male,1,own,little,,937,24,education,good
399,399,43,female,1,own,rich,,1516,24,radio/TV,good
754,754,55,male,2,free,rich,,1555,12,repairs,bad
877,877,28,male,2,own,little,,3595,36,radio/TV,good
16,16,53,male,2,own,,,2424,24,radio/TV,good
598,598,31,male,2,own,little,,2775,18,car,bad
